题名,URL,作者,来源,发表日期,数据库类型,被引用次数,关键词,摘要
慢性淋巴细胞性甲状腺炎与甲状腺恶性肿瘤的临床相关性因素分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bnttwOWd3NgPYY_-4o3R6hjGp2xDJwoyEaXpUKB4Nyc7k_QJ4gBsgsecLRCY2axelg7jlSxj-wJRQX5P9oTS34uH3tv1JoyTxSRTgOl7ifHiTkafQ6rJ2j84jkTcdW6uocFYiKnJjapw==&uniplatform=NZKPT&language=CHS,黄建芬;黄有全,世界最新医学信息文摘,4/8/2016,期刊,2,慢性淋巴细胞性甲状腺炎; 甲状腺恶性肿瘤; 相关性;,"目的:研究分析慢性淋巴细胞性甲状腺炎与甲状腺恶性肿瘤的临床相关性因素。方法:选取2011年3月至2015年11月间在我院行手术治疗的528例甲状腺患者,对所有患者的临床资料进行回顾分析,对慢性淋巴细胞性甲状腺炎与甲状腺恶性肿瘤间的关系进行分析。结果:慢性淋巴细胞性甲状腺炎患者中有39.56%的患者合并甲状腺恶性肿瘤明显高于非慢性淋巴细胞性甲状腺炎患者(17.39%),而两组患者的TNM分期相比较,差异不明显(P>0.05)。结论:慢性淋巴细胞性甲状腺炎患者易并发甲状腺恶性肿瘤,但其对于肿瘤分期影响不大。"
硒制剂对慢性淋巴细胞性甲状腺炎自身抗体的影响,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bnttwOWd3NgPYY_-4o3R6hjGp2xDJwoyFPFZAaf8hSyFxu6mn5dOrHljtJFI72RrkYQOe5DLcEsZy5USGaglHq4xdv5Fm9URz-1yczFxRHMiFfb7qFH0vK4V6LAcEwS8FE2H2Z7Zu9sg==&uniplatform=NZKPT&language=CHS,高宏霞;刘静;冯睿,卫生职业教育,7/25/2017,期刊,2,硒制剂; 慢性淋巴细胞性甲状腺炎; 甲状腺过氧化物酶抗体; 甲状腺球蛋白抗体;,"目的观察不同剂量硒制剂对慢性淋巴细胞性甲状腺炎(CLT)患者甲状腺过氧化物酶抗体(TPOAb)、甲状腺球蛋白抗体(Tg Ab)的影响。方法将130例CLT患者分为治疗组1、治疗组2和对照组,治疗组1(44例)给予硒酵母200μg/d,治疗组2(40例)给予硒酵母50μg/d,对照组(46例)随访观察3个月,分别于服药前、服药后3个月测定血清TPOAb、Tg Ab、血清促甲状腺激素(TSH)、游离甲状腺素(FT4)、游离三碘甲状腺原氨酸(FT3)水平及甲状腺各径线数值。结果补硒治疗后,治疗组1 TPOAb、Tg Ab水平较治疗前降低,差异有统计学意义(P<0.05);治疗组2 TPOAb、Tg Ab水平较治疗前降低,但差异无统计学意义(P>0.05)。结论每日给予200μg硒可降低CLT患者TPOAb、Tg Ab水平,每日给予50μg硒对降低TPOAb、Tg Ab水平可能剂量不足。"
慢性淋巴细胞性甲状腺炎的患病因素分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bAHNsprPYXMcr5D8V9RaESWLJ6fwEHavgD3GG262ovqngP0jFrnuAnIe6JyISBR6Vpg0CLdYYVuXLKsRt76l3s0N-d3ssVxFIYNIfy-lekZX3DJQdJCK1xnCNQdUwHtkkArre0wuO2GA==&uniplatform=NZKPT&language=CHS,李红;王永森;李平,中华保健医学杂志,10/30/2017,期刊,2,慢性淋巴细胞性甲状腺炎; 患病率; 慢性扁桃体炎; 沿海地带;,"目的通过分析体检中发现的慢性淋巴细胞性甲状腺炎(CLT)患者的环境特征、病史资料等,探讨CLT发病的可能因素。方法以2014年6月2014年12月在沧州市中心医院进行有关甲状腺项目的 6 325名体检者为研究总体,分析CLT患者的患病率,随机挑选CLT患者80例,另选取同期体检健康者80名,分析CLT患者和健康体检者的性别、遗传、地域差异、体质量指数、城市生活、体力劳动、学历、家庭收入、慢性扁桃体炎等因素特点,进行Logistic统计分析。结果沧州地区的CLT患病率约为6.01%(95%可信区间5.42%6.59%),经过分析,性别、遗传、地域差异、慢性扁桃体炎等差异有统计学意义(β=-0.867,χ2=4.689,P=0.030),(β=-0.712,χ2=4.140,P=0.042),(β=0.633,χ2=6.392,P=0.011),(β=1.471,χ2=12.931,P=0.000)。结论沧州地区的CLT患病率约为5.42%6.59%,慢性扁桃体炎、遗传、沿海地带、女性均是CLT发病的危险因素。"
芪海消瘿汤治疗慢性淋巴细胞甲状腺炎临床研究,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZyceTjt9jmz1Gd0fZsMRqfg6uh6CEE5X4W3Mi0vYLSyrjBkdyUWIU8Qm7dBYcHcGgjvo9BH2ikPjTLKV9wJ_2SXghcQU6bqRwK6kG7yEO24YZWOUBQY4q7kFiQivXzulxUgMyimgdJMA==&uniplatform=NZKPT&language=CHS,陈琼科;唐莺;郑世霞;林川;刘静,实用中医药杂志,4/15/2018,期刊,2,慢性淋巴细胞性甲状腺炎; 芪海消瘿汤; 左甲状腺素钠;,"目的:观察芪海消瘿汤治疗慢性淋巴细胞性甲状腺炎的临床疗效。方法:100例分为对照组45例和治疗组55例,两组均用左甲状腺素钠治疗,治疗组加用芪海消瘿汤治疗。结果:总有效率治疗组91.0%、对照组71.1%,两组比较差异有统计学意义(P<0.05)。治疗后两组T3、T4、FT3、FT4、TSH皆正常,TGAb、TPOAb降低治疗组与治疗前比较差异有统计学意义(P<0.05),与对照组治疗后比较差异有统计学意义(P<0.05)。治疗后治疗组的左甲状腺素治疗平均用量明显减少,与治疗前比较差异有统计学意义(P<0.05)。甲状腺及甲状腺结节缩小,与治疗前比较差异有统计学意义(P<0.05),与对照组治疗后比较差异有统计学意义(P<0.05)。结论:芪海消瘿汤能调节慢性淋巴细胞性甲状腺炎患者免疫功能,降低抗体滴度,减少左甲状腺素钠用量,减少慢性淋巴细胞性甲状腺炎向甲减转化,阻止甲状腺细胞的凋亡,缩小肿大的甲状腺及甲状腺结节。"
硒酵母联合左甲状腺素钠片治疗慢性淋巴细胞性甲状腺炎临床效果分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZyceTjt9jmz1Gd0fZsMRqfg6uh6CEE5X7rM5C-PhoJh2EyZDhtoFPGRfunqFnq8ApbcHGxPSjPZ9WPTKwqh17xlVjzV2U6aS2raj8qfmcOXSPwECvdrwp6VCSJNS6lbYKvIhBZpEZexA==&uniplatform=NZKPT&language=CHS,童颖剑,世界复合医学,6/15/2020,期刊,2,硒酵母联合左甲状腺素钠片治疗; 慢性淋巴细胞性甲状腺炎; 治疗效果; 疗效评价;,"目的研究硒酵母联合左甲状腺素钠片治疗慢性淋巴细胞性甲状腺炎的临床效果。方法选取该院门诊就诊的100例慢性淋巴细胞性甲状腺炎患者,该次研究的时间范围为2017年5月—2019年5月,采用随机抽签法将这些患者分为联合治疗组与单一治疗组,其中联合治疗组患者50例,单一治疗组患者50例。联合治疗组患者采用硒酵母联合左旋甲状腺素钠片治疗,单一治疗组患者采用单一的左甲状腺素钠片进行治疗,将两组患者的治疗效果、治疗前后的甲状腺功能指标以及甲状腺自身抗体、并发症发生概率、治疗满意度进行比较。结果联合治疗组患者的治疗效果优于单一治疗组患者,两组的总有效人数分别为50例、42例,差异有统计学意义(χ2=8.696,P=0.003)。联合治疗组的治疗满意度优于单一治疗组患者,两组的总满意人数分别为35例、45例,差异有统计学意义(χ2=6.250,P=0.012)。联合治疗组患者的甲状腺功能指标改善情况优于单一治疗组患者[(4.91±1.24)mU/L,(5.13±0.81)pmol/L,(16.98±2.88)pmol/L vs (7.91±1.98)m U/L,(3.89±1.23)pmol/L,(12.33±2.38)pmol/L],差异有统计学意义(t=9.080、5.954、8.801,P=0.000、0.000、0.000)。联合治疗组患者的并发症发生概率低于单一治疗组患者,两组的并发人数分别为7例、1例,差异有统计学意义(χ2=8.696,P=0.003)。联合治疗组的甲状腺自身抗体水平下降优于单一治疗组[(71.24±10.58)U/mL,(124.10±18.04)pmol/L vs (80.29±10.28)U/mL,(180.14±19.22)pmol/L],差异有统计学意义(t=10.042、15.033,P=0.000、0.000)。结论慢性淋巴细胞性甲状腺炎患者进行硒酵母联合左甲状腺素钠片治疗的效果良好,可以有效降低患者的并发症发生概率,改善患者的病情,安全性较好,可以有效的改善患者的甲状腺功能,提高患者的治疗效果。"
甲状腺功能血清学指标结合超声检查在鉴别儿童毒性弥漫性甲状腺肿与慢性淋巴细胞性甲状腺炎中的价值,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_Y3h5G8bM0GypyjbVDnRWmi-_P5x_8GpdlBTH6Faf8b7UNeItgeUrau3Aq2uWIjKXt4BwL64xivNV0AEe7gCsTiHdF_DwE9JN1YGC0YdOlhpx39il2RnnPntNNMghHLSG7GCtdOHDfmZA==&uniplatform=NZKPT&language=CHS,李松涛;杨大恒;孙杭;岳玉林;张倩,诊断学理论与实践,12/25/2020,期刊,2,毒性弥漫性甲状腺肿; 慢性淋巴细胞性甲状腺炎; 儿童;,"目的:分析毒性弥漫性甲状腺肿[又称格雷夫斯病(Graves disease, GD)]和慢性淋巴细胞性甲状腺炎[又称桥本甲状腺炎(Hashimoto thyroiditis,HT)]患儿的甲状腺功能血清学指标和超声检查表现,为临床鉴别儿童GD与HT甲状腺功能亢进(甲亢)期提供依据。方法:选取2016年1月至2019年12月间南京医科大学附属儿童医院内分泌科确诊的GD和HT患儿共226例(年龄为7～14岁),其中GD组患儿124例,HT甲亢组患儿38例,HT甲状腺功能减退(甲减)组患儿64例。另选200名同期且年龄匹配的健康体检儿童作为对照组。用电化学发光免疫测定检测患者及对照者的甲状腺功能血清学指标,包括游离三碘甲状腺原氨酸(free triiodothyronine,FT3)、游离甲状腺素(free thyroxine,FT4)、促甲状腺素(thyroid stimulating hormone,TSH)、抗甲状腺过氧化物酶自身抗体(anti-thyroid peroxidase autoantibody,anti-TPOAb)、抗甲状腺球蛋白抗体(anti-thyroglobulin antibody,anti-TGAb)、促甲状腺激素受体抗体(thyroid stimulating hormone receptor antibody,TRAb)。同时记录患者及对照者的甲状腺超声检查指标,包括甲状腺左右叶横径及前后径、峡部前后径和彩色多普勒血流成像(color Doppler flow imaging,CDFI),比较GD组与HT甲亢组间上述临床数据的差异。结果:与HT甲亢组比较,GD组患儿TRAb水平升高[(18.98±20.11) IU/L比(0.33±0.41)IU/L],anti-TPOAb [(176.10±188.84) IU/mL比(219.65±203.66) IU/mL]和anti-TGAb [(242.40±632.15) IU/mL比(471.56±361.12) IU/m]水平降低。进一步分析3种甲状腺自身抗体的阳性率,结果发现,GD组的TRAb阳性率(93%)高于HT甲亢组(33%),HT甲亢组的anti-TPOAb(93%)和anti-TGAb(84%)阳性率高于GD组(52%和49%)(P均<0.05)。与HT甲亢组(35%)相比,GD组CDFI报告血流丰富率高(94%)(P<0.05),余超声指标无差异。结论 :儿童GD与HT甲亢期的临床表现相近,超声检查提示肿大甲状腺体积相近;患儿的TRAb水平升高和CDFI报告血流丰富时,多提示为GD;当anti-TPOAb、anti-TGAb水平升高和CDFI报告血流不丰富时,则多提示患儿为HT甲亢期。鉴别二者时,超声CDFI检测血流可提供鉴别GD与HT甲亢期的参考信息。"
硒酵母联合地塞米松治疗慢性淋巴细胞性甲状腺炎的疗效及其对氧化/抗氧化系统和Fas/FasL表达的影响,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_azQVDiGOWAOnmbiuocJtBTeE8OmNpQDiee6pCoUoX1oN5g8xBeXb3UaOhF0wKqHhdbD8R4sVY3oZtHUnokbmJj_YasIg19N5YVM4uSU8JfX9th5I5Ln1xct6rA1T8Gu0Rmnl2fgsvcqA==&uniplatform=NZKPT&language=CHS,张娜;易茂林;田双黎,药物评价研究,9/6/2021,期刊,2,硒酵母; 地塞米松; 慢性淋巴细胞性甲状腺炎; 氧化/抗氧化系统; Fas/FasL;,"目的探讨硒酵母联合地塞米松治疗慢性淋巴细胞性甲状腺炎的疗效及其对患者氧化/抗氧化系统及Fas/FasL表达的影响,为其临床诊治提供参考。方法选择黄冈市中心医院2018年5月—2020年6月收治的116例慢性淋巴细胞性甲状腺炎患者作为研究对象,按照治疗方法将患者分为对照组和观察组,各58例。对照组患者肌内注射地塞米松磷酸钠注射液1 mg/次,2次/周。观察组在对照组的基础上口服硒酵母片,2片/次,2次/d。两组均进行6个月的治疗。观察两组患者的临床疗效,比较两组治疗前后甲状腺功能、T淋巴细胞、血清甲状腺过氧化物酶抗体(TPOAb)、甲状腺球蛋白抗体(TGAb)、丙二醛(MDA)、谷胱甘肽过氧化物酶活性(GSH-PX)水平及Fas和FasL表达情况。结果治疗后,观察组患者总有效率为94.83%,明显高于对照组的79.31%(P<0.05)。治疗后,两组血清游离甲状腺素(FT4)、游离三碘甲腺原氨酸(FT3)均明显升高,血清高敏促甲状腺激素(sTSH)明显降低(P<0.05),且观察组血清FT4、FT3水平显著高于对照组,sTSH明显低于对照组(P<0.05)。治疗后,两组患者血清CD3+、CD4+、CD4+/CD8+均明显升高,血清CD8+明显降低(P<0.05);且观察组更为显著(P<0.05)。治疗后,两组患者血清GSH-Px水平明显升高,TPOAb、TGAb和MDA水平明显降低(P<0.05);且观察组更为显著(P<0.05)。治疗后,两组患者血清Fas及FasL表达明显降低(P<0.05),且观察组更为显著(P <0.05)。结论硒酵母联合地塞米松治疗慢性淋巴细胞性甲状腺炎患者可以明显改善患者甲状腺功能和氧化/抗氧化系统,有效控制细胞凋亡,增强机体免疫功能,效果显著,具有一定的临床应用价值。"
基于人工智能的合并慢性淋巴细胞性甲状腺炎的甲状腺乳头状癌颈中央区淋巴结转移的早期预测系统构建,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_a-LFKkyL45vgcEFn743tLv9MAQdHtei47XxNirBiD6D8F8Vw88F8wv6PVliJwrzegn48gRj0qDorULQb0MpYu202JhJFhsu2syr2P0thP1IQblmNv3-FIOmwitNg0_GmjtHzJc9f-xRg==&uniplatform=NZKPT&language=CHS,张寅;姚永忠;许丹丹,中国耳鼻咽喉头颈外科,11/28/2021,期刊,2,"甲状腺肿瘤; 癌,乳头状; 人工智能; 慢性淋巴细胞性甲状腺炎; 中央区淋巴结转移; 预测模型;","目的分析合并慢性淋巴细胞性甲状腺炎(chronic lymphocytic thyroiditis,CLT)的甲状腺乳头状癌(papillary thyroid carcinoma,PTC)患者发生颈中央区淋巴结转移(central lymph node metastasis,CLNM)的危险因素,并基于机器学习算法建立预测系统。方法回顾性选取2018年5月～2020年12月于南京大学医学院附属南京鼓楼医院接受手术治疗并经病理确诊为PTC且合并CLT的患者429例。采用Logistic回归模型筛选CLNM发生的危险因素,分别建立CatBoost、XGBoost及LightGBM预测模型。结果年龄、肿瘤直径、病灶数目及腺外侵犯是合并CLT的PTC患者发生CLNM的预测因素(P<0.05)。训练集中,3种模型的AUC分别为0.884(95%CI 0.836-0.932)、0.811(95%CI 0.748-0.874)、0.816(95%CI 0.749-0.883),准确度分别为92.33%、83.67%、85.00%;测试集中,3种模型的AUC分别为0.852(95%CI 0.795-0.909)、0.803(95%CI 0.742-0.865)、0.795(95%CI 0.726-0.864),准确度分别为91.47%、80.62%、83.72%。结论基于机器学习建立的3种预测模型中,CatBoost模型的性能更优,在CLT合并PTC中预测CNM的发生具有更好的应用价值。"
逍遥散加味治疗慢性淋巴细胞性甲状腺炎的临床研究,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bCKFmeZdykm4MfkytL8i24mB6kXdhR9-4MLGIwM5vpjn7jcR4444qf7W_jgB7aDNjdJ8gkBXiKeNUmARyhMjBHGeHtepWcB1bWGt7C5G0uNpPgJFvoaiMgngJotT7WflQfRItxPKJl6Q==&uniplatform=NZKPT&language=CHS,张兰;刘婧;李祎楠;董佳妮;姚祈,时珍国医国药,9/20/2022,期刊,2,逍遥散加味; 慢性淋巴细胞性甲状腺炎; 疗效; 安全性; 机制;,"目的 观察逍遥散加味治疗慢性淋巴细胞性甲状腺炎(CLT)亚临床期的临床疗效及安全性，并分析其疗效机制，为逍遥散加味的临床推广应用提供依据。方法 200例CLT亚临床期患者随机分成两组，分别予逍遥散加味及金水宝片。比较两组治疗前后各项中医症状及综合疗效、TGAb、TPOAb及其下降率、血清Th1、Th2、Th17、Treg、IL-1、IL-2、IL-4、IL-6、IL-10、IL-12、TNF-α、INF-γ、cxcL10、cxcR3水平。结果 治疗后治疗组在缓解胸胁胀满、情绪不宁方面较对照组尤为突出(P<0.01),其中医症状综合疗效总体有效率为92.68%高于对照组的86.25%。两组对TGAb、TPOAb及其下降率、IL-1、2、4、6、10、12、INF-γ、TNF-α、CXCL10、CXCR3均有一定的调节作用，并且治疗组在改善上述指标水平上较对照组有明显差异(P<0.05或P<0.01)。结论 逍遥散加味具有调节细胞及体液免疫紊乱、减轻炎症反应等多靶点作用，起到保护甲状腺组织病理损伤，改善并延缓CLT病情进展的治疗作用。"
合并慢性淋巴细胞性甲状腺炎的甲状腺乳头状癌的临床病理特点及淋巴结转移的风险分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bCKFmeZdykm4MfkytL8i24JU0KNEhaDYstLfEtLFAikNM17jztQfzcBWzNzYErqCDMgXVf--QNQwD8JDbE_DwZQWek7cL8rdxdMHpFcLmc19U8idHU6khutJdF3a-qmbcO55doKsRm9w==&uniplatform=NZKPT&language=CHS,董云伟,山西医科大学,6/1/2017,硕士,2,甲状腺乳头状癌; 慢性淋巴细胞性甲状腺炎; 临床病理特点; 淋巴结转移;,"目的:探讨合并慢性淋巴细胞性甲状腺炎(Chronic Lymphocytic Thyroiditis,CLT)的甲状腺乳头状癌(papillary thyroid carcinoma,PTC)的临床病理特点,特别是淋巴结转移风险的情况。方法:连续收集2013年10月至2015年10月期间在北京协和医院行手术治疗、经病理确诊的4265例PTC患者的临床病理资料,分析其临床病理特点,通过单因素分析明确合并CLT的PTC患者独特的临床病理特点;通过单因素、多因素统计分析确定包括CLT在内的各临床病理指标是否是淋巴结转移、大量淋巴结转移的独立危险因素。结果:4265例PTC患者中,甲状腺微小乳头状癌(papillary thyroid microcarcinoma,PTMC)3059例(71.7%),伴CLT者1010例(23.7%)。合并CLT的PTC患者中,女性909例(90%)、中位年龄43岁、中位肿瘤长径0.8cm、多发灶624例(61.8%),侵犯被膜422例(41.8%),淋巴结转移429例(42.5%),大量淋巴结转移133例(13.2%)。与未合并CLT的PTC患者相比,合并CLT的PTC患者,女性比例多(90.0%vs 70.2%,P<0.001);中位年龄低(43岁vs 44岁,P=0.001);淋巴结转移率低(42.5%vs 50.9%,P<0.001);肿瘤长径、多发灶比例、侵犯被膜率、大量淋巴结转移率并无显明差异(0.8cm vs 0.7cm,61.8%vs 62.9%,41.8%vs 42.1%,13.2%vs14.5%,均P>0.05)。淋巴结转移多因素分析显示:CLT是PTC淋巴结转移的独立保护因素(OR=0.713,95%CI=0.609-0.835,P<0.001),但不是大量淋巴结转移的独立保护因素(OR=0.944,95%CI=0.750-1.188,P=0.621)。发生淋巴结转移的PTC患者中,合并CLT者的淋巴结转移数量与未合并者无差异(3个vs 3个,P=0.300)。结论:在合并CLT的PTC中,女性更多、更年轻、淋巴结转移率更低;CLT是PTC淋巴结转移的独立保护因素;但是发生转移的患者其淋巴结转移数量并未减少。"
甲状腺乳头状癌合并慢性淋巴细胞性甲状腺炎的临床病理特征分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_a-n3XdW4U2hHCl5GRevXeLwWdHxVW4wNdDzLD8VkWYJECu-elilymZfHM25U61Sy_Fs_z1Z5EyrxNi6aFHhCOZw-4eZfXH67Yqw8nSFvglQKmlusQqAUf3o90Zmj9Gp0cOg8GQ68Xglg==&uniplatform=NZKPT&language=CHS,朱敏,新疆医科大学,3/1/2018,硕士,2,甲状腺肿瘤; 慢性淋巴细胞性甲状腺炎; 临床病理学特征;,"目的:本课题探讨甲状腺乳头状癌(papillary thyroid carcinoma,PTC)合并慢性淋巴细胞性甲状腺炎(chronic lymphocytic thyroiditis,CLT)患者的临床特点与病理特征。方法:回顾性收集我院2014年1月至2017年1月期间收治的756例并经病理确诊患有PTC的患者的临床病理资料,根据术后常规病理检测结果是否合并CLT分单纯PTC组(562例)和PTC合并CLT组(194例),比较2组患者在临床资料、超声特征、甲状腺功能指标及病理特征方面有无统计学差异。结果:PTC合并CLT组女性患者比例、多灶癌比例、血清促甲状腺激素水平、甲状腺球蛋白抗体及过氧化物酶抗体水平均明显高于单纯PTC组(P<0.05),在术前超声、癌灶直径大小、包膜侵犯率、VI区淋巴结转移率及TNM分期方面相比,2组患者分布差异均无统计学意义(P>0.05),进一步行多因素Logistic分析结果显示,女性、甲状腺球蛋白抗体水平、抗甲状腺过氧化物酶抗体水平及多灶癌是PTC合并CLT的独立风险预测因素(P<0.05)。结论:本研究的初步研究结果提示,PTC与CLT之间可能存在一定的关联,合并CLT的PTC好发于女性,以多灶癌多见,但合并CLT并未增加PTC的侵袭性,这可能与CLT限制了PTC结节的发展有关,推测CLT可能是PTC的保护性因素。PTC合并CLT组血清TG-Ab及TPO-Ab水平偏高,提示CLT可能是PTC发病风险因素之一。"
张兰教授治疗慢性淋巴细胞性甲状腺炎经验选萃,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_a-n3XdW4U2hHCl5GRevXeLwWdHxVW4wNdUtjlgFDBADBlfxzdDCyJfzGTc1D2cZqInh7iB25q80lXKThuUdLg7z_Iz3Tvmz2X17gr8CU6Sv9czbIco2xzWIwYFYM8iOutgYgV5i4x84Q==&uniplatform=NZKPT&language=CHS,张春华,辽宁中医药大学,4/1/2008,硕士,2,慢性淋巴细胞性甲状腺炎; 桥本氏病; 中医药治疗; 经验;,"慢性淋巴细胞性甲状腺炎(Chronic Lymphocytic Thyroiditis, CLT),又称桥本氏病(Hashimoto’s Thyroiditis,HT),是各种甲状腺炎中比较常见的一种,约占甲状腺疾病的20%左右。本病多发于女性,以中青年为主。近年来,本病在临床的发病率逐年升高,且常可合并甲状腺癌或恶性淋巴瘤【1】,而现代医学认为本病与自身免疫有关,但对本病的免疫紊乱尚无有效的治疗方法,且停药后常易复发,其副作用超过了对机体的有利面,给治疗带来不便。张兰教授从医多年,对本病的治疗有其独特而丰富的经验,总结出一套中医治疗CLT的独特理论,从肝、脾、肾三脏,分早、中、晚三期进行辨证论治,取得了良好的临床疗效。"
应用含碘中药治疗慢性淋巴细胞性甲状腺炎的探讨,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aveougVBnzdUO9ZNP1qvsKoG8ukHMA1SlXMeiPPGnUVhvGmrcfNF7NG6tWR7Ps2xS1t4CWyBsElguwibVKZ2qrZm0flMDpsEUaAC00jAfQoxIZsPlS8c1jgygyR9-1mvwuupvYvxL3Ig==&uniplatform=NZKPT&language=CHS,张兰;张颖,5TH全国中西医结合内分泌代谢病学术大会暨糖尿病论坛论文集,11/2/2012,中国会议,2,,"<正>慢性淋巴细胞性甲状腺炎义名桥本甲状腺炎(HT),为自身免疫性甲状腺疾病,根据其不同的临床表现,可将其归为""瘿病""、""心悸""、""虚劳""等范畴。本病伴见颈前甲状腺弥漫性肿大时,多借鉴古书治疗""瘿病""之法。中医应用含碘中药治疗""瘿病""历史悠久。《神农本草经》、《肘后方》首先用海藻、昆布治疗瘿病。唐代《千金要方》治瘿方剂中大都有海藻、昆布等药。《外台秘要》收载治瘿方"
慢性淋巴细胞性甲状腺炎外科治疗(附49例分析),https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_boLEQsmE_lSTfbGGIYKHpMImBqFdXnSCIRmlWQwXD85VF0OHkw9I4QCsqhmH4ID5GwFXGYHogeIxH_RtbuAtBliX6aIgj316NW4VqS09Snm3Ak9gTVZL8bSa0U7ApQBI8=&uniplatform=NZKPT&language=CHS,"李文岗,丁田贵,孙毅群,张德恒",白求恩医科大学学报,7/30/2000,期刊,1,慢性淋巴细胞性甲状腺炎; 外科治疗; 甲状腺自身抗体;,"目的 :研究手术加药物治疗对慢性淋巴细胞性甲状腺炎 ( CLT)的临床意义。方法 :对 4年间 49例病人进行回顾性分析 ,其中 2 0例病人行手术加药物治疗 ,2 9例病人给予单纯的药物治疗。结果 :手术加药物治疗组病人恢复快 ,复发少。对于一些不能排除恶性病变或伴随严重症状的病人 ,可以明确诊断。药物治疗组病人反复发作多 ,用药时间长。结论 :根据不同的病变范围 ,采用手术切除区域性病灶与药物治疗相结合的联合治疗 ,对 CLT不失为一种较满意的治疗方法。"
儿童慢性淋巴细胞性甲状腺炎T细胞CD40L表达及其与细胞因子失衡的关联研究,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_boLEQsmE_lSTfbGGIYKHpMImBqFdXnSCJ_4mhbQgrzalsNbQoTWa08cnVtp9XxgUe4-xuW52NwQfGx-ThMBWksrRYf1Z5QkA1_8P5dMe3khLd5lut0vmoSQNMWQONvZSI=&uniplatform=NZKPT&language=CHS,"董文斌,王菁,邓存良,肖大成",中华微生物学和免疫学杂志,1/30/2000,期刊,1,,"为研究慢性淋巴细胞性甲状腺炎(ＣＬＴ)患儿发作期Ｔ细胞ＣＤ40ＬｍＲＮＡ表达及其与ＴＨ1/ＴＨ2细胞因子失衡的关系,以8例ＣＬＴ患儿为研究对象,采用ＲＴＰＣＲ技术和ＥＬＩＳＡ法分别检测在丝裂原诱导下外周血Ｔ细胞ＣＤ40ＬｍＲＮＡ的表达及单个核细胞(ＰＢＭＣ)产生Ｉ..."
慢性淋巴细胞性甲状腺炎27例误诊分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bEzl1EwcsfeoYq03DXBWfwSVlpl3on41WnyJJDwjANjZzKoZUVRtw__pR3DSBHiPSp8B1e21SfMnYKj7JXbf_J5Xn6jWqsOSWeHpOzneKvU0lqvLfclcJJ6vJRZRFv_YQ=&uniplatform=NZKPT&language=CHS,王连武,临床误诊误治,6/17/2000,期刊,1,,
白细胞介素18在慢性淋巴细胞性甲状腺炎中的表达,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_YY38Y5GHoZHi5fh9TtArPdlmHLWAWrryLh4uGTrprWxodQfzLFH3uDIg0WnGp9KSFgSyDwJ7SpqB9u1402vjPyDV8i5GNh1TNZh0zpWgycaWekoCgWisMCBIfdw4Zq48w=&uniplatform=NZKPT&language=CHS,"杨京平,洪天配,裴斐",诊断病理学杂志,5/30/2001,期刊,1,,
儿童慢性淋巴细胞性甲状腺炎12例临床分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_YsmbLA5Vno3TgMFar8VTsfcGZLjrOdkKYtCF_hiMo8E967C16Y1k1hp2uC5QcO3dpdWwwkaY09i_ZYMpq64ts95vX9ISAjNmyZhYGJj8a0KSy7r6HG40qKLzCei6Y7wz4=&uniplatform=NZKPT&language=CHS,"游欢庆,金献江,项如莲",浙江医学,5/25/2001,期刊,1,,
慢性淋巴细胞性甲状腺炎误诊误治38例分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_YsmbLA5Vno3TgMFar8VTsfcGZLjrOdkKZS-yz6DjxG9D-GLYCFwPKy1ut0s37EuNWzq8b8WhLBG6TJWyG3qDMN5ywiwgXe90ks1N8c88X6aixXcrTxhq4prys8vh3mWhY=&uniplatform=NZKPT&language=CHS,"方连法,许立恒,姜克宁",中国误诊学杂志,7/20/2001,期刊,1,慢性淋巴细胞性甲状腺炎/诊断; 误诊;,
